name,rating,org_price,offer_price
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.3,"₹13,999","₹11,499"
"SAMSUNG Galaxy A04 (Green, 128 GB)",3.6,"₹15,999","₹12,999"
"LAVA Blaze Pro (Glass Orange, 64 GB)",4.3,"₹12,999","₹10,200"
"SAMSUNG Galaxy A13 (Green, 64 GB)",4.1,"₹18,499","₹14,889"
"realme Narzo 20A (Victory Blue, 64 GB)",4.4,,"₹11,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,,"₹17,999"
"OPPO A15S (Rainbow Silver, 64 GB)",4.3,,"₹13,990"
"IQOO Z6 Lite 5G (Without Charger) (Stellar Green, 64 GB)",4.2,"₹14,480","₹14,330"
"MOTOROLA G51 5G (Indigo Blue, 64 GB)",4.1,"₹17,999","₹14,999"
"POCO M3 (Yellow, 64 GB)",4.3,,"₹11,999"
"SAMSUNG A04 E (Copper, 128 GB)",4.7,"₹11,999","₹11,499"
"OPPO A15S (Fancy white, 128 GB)",4.3,"₹14,990","₹12,790"
"POCO M3 (Yellow, 64 GB)",4.3,,"₹11,999"
GREENBERRI RAFALE,4,,₹899
"SAMSUNG Galaxy A04e (Light Blue, 128 GB)",4.3,"₹14,999","₹11,299"
"Micromax IN Note 1 (Green, 64 GB)",4.1,"₹15,499","₹11,499"
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,,"₹17,999"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"realme C12 (Power Silver, 32 GB)",4.4,,"₹10,999"
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)",4.2,"₹19,999","₹12,999"
"Tecno Camon 19 (Memphis Green, 128 GB)",4.2,"₹15,287","₹14,990"
Cellecor E3,3.9,"₹1,599","₹1,176"
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,"₹12,999","₹11,099"
"REDMI 11 Prime (Flashy Black, 64 GB)",4.2,"₹14,999","₹11,199"
"Redmi 6 (Black, 64 GB)",4.4,,"₹10,499"
"OPPO A 57e (Green, 64 GB)",4,"₹16,999","₹13,989"
"Nokia G20 (Dark Blue, 64 GB)",3.9,"₹14,999","₹12,169"
"OPPO A12 (Deep Blue, 64 GB)",4.4,"₹11,990","₹10,990"
"realme C15 (Power Blue, 32 GB)",4.3,,"₹11,999"
"Redmi Y2 (Blue, 32 GB)",4.5,,"₹10,499"
"realme C12 (Power Blue, 32 GB)",4.4,,"₹10,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,,"₹16,999"
"SAMSUNG GALAXY M13 5G (Stardust Brown, 64 GB)",4.1,"₹16,999","₹13,699"
"Redmi 6 (Gold, 64 GB)",4.4,,"₹10,499"
"SAMSUNG Galaxy A04 (Black, 64 GB)",3.6,"₹14,999","₹11,999"
"Redmi Note 7S (Sapphire Blue, 64 GB)",4.4,,"₹13,999"
"SAMSUNG Galaxy A04 (Copper, 128 GB)",3.6,"₹15,999","₹12,999"
GREENBERRI RAFALE,4,,₹899
"Redmi 6 (Blue, 64 GB)",4.4,,"₹10,499"
"LAVA Blaze Pro 6GB+128GB (Glass Orange, 128 GB)",,"₹13,999","₹11,949"
"vivo Y16 (Drizzling Gold, 64 GB)",4.3,"₹14,999","₹10,890"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"Nokia 5.4 (Polar Night, 64 GB)",3.9,,"₹16,799"
"realme C15 (Power Silver, 32 GB)",4.3,,"₹11,999"
"Redmi Note 6 Pro (Black, 64 GB)",4.5,,"₹15,999"
Cellecor E3,3.9,"₹1,599","₹1,176"
"Redmi Note 7S (Onyx Black, 64 GB)",4.4,,"₹13,999"
"LAVA Blaze Pro (Glass Green, 64 GB)",4.3,"₹12,999","₹10,499"
"OPPO A55 (Rainbow Blue, 128 GB)",4.1,,"₹14,900"
"Micromax IN Note 1 (Green, 128 GB)",4.1,"₹16,999","₹10,999"
"realme 2 Pro (Black Sea, 64 GB)",4.5,,"₹13,990"
"Redmi 9 (Sporty Orange, 64 GB)",4.2,"₹10,999","₹9,290"
"vivo Y21E (Midnight Blue, 64 GB)",4.2,"₹16,990","₹12,490"
"OPPO A54 (Crystal Black, 128 GB)",4.3,,"₹13,250"
"Redmi Note 7S (Onyx Black, 32 GB)",4.4,,"₹11,999"
"Redmi Note 6 Pro (Red, 64 GB)",4.5,,"₹15,999"
"OPPO A54 (Crystal Black, 128 GB)",4.4,,"₹14,900"
"Redmi Note 5 (Black, 32 GB)",4.4,,"₹10,999"
"realme Narzo 20 (Victory Blue, 64 GB)",4.3,"₹12,999","₹10,499"
"realme Narzo 20 (Glory Silver, 64 GB)",4.3,"₹12,999","₹10,499"
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)",4.2,"₹19,999","₹12,999"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"OPPO A54 (Moonlight Gold, 128 GB)",4.4,"₹15,990","₹14,480"
"REDMI 11 Prime (Flashy Black, 64 GB)",4.2,"₹14,999","₹11,199"
"Redmi 6 (Black, 64 GB)",4.4,,"₹10,499"
GREENBERRI RAFALE,4,,₹899
"OPPO A 57e (Green, 64 GB)",4,"₹16,999","₹13,989"
"Nokia G20 (Dark Blue, 64 GB)",3.9,"₹14,999","₹12,169"
"OPPO A12 (Deep Blue, 64 GB)",4.4,"₹11,990","₹10,990"
Cellecor E3,3.9,"₹1,599","₹1,176"
"realme C15 (Power Blue, 32 GB)",4.3,,"₹11,999"
"Redmi Y2 (Blue, 32 GB)",4.5,,"₹10,499"
"OPPO A15s (Rainbow Silver, 128 GB)",4.3,"₹14,990","₹13,999"
"realme C12 (Power Blue, 32 GB)",4.4,,"₹10,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,,"₹16,999"
"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",4.2,"₹16,999","₹14,399"
"OPPO A54 (Starry Blue, 128 GB)",4.3,"₹14,948","₹14,776"
"OPPO A54 (Crystal Black, 128 GB)",4.4,"₹15,990","₹14,990"
"Redmi 6 (Gold, 64 GB)",4.4,,"₹10,499"
"Redmi 10 Prime (Phantom Black, 128 GB)",4.1,"₹16,999","₹13,996"
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,,"₹17,999"
"realme C15 (Power Blue, 64 GB)",4.4,,"₹12,999"
