name,rating,org_price,offer_price,clean_original_price,clean_offer_price
"SAMSUNG Galaxy M04 (Light Green, 128 GB)",4.1,"₹13,499","₹9,945",13499.0,9945.0
"MOTOROLA g22 (Iceberg Blue, 64 GB)",3.8,"₹13,999","₹10,999",13999.0,10999.0
"Infinix Note 12 5G (Snowfall, 64 GB)",4.2,"₹19,999","₹14,999",19999.0,14999.0
"vivo Y22 (Metaverse Green, 64 GB)",4.3,"₹17,990","₹14,499",17990.0,14499.0
"REDMI Note 11 (Starburst White, 64 GB)",4.2,"₹17,999","₹13,700",17999.0,13700.0
"realme C35 (Glowing Black, 64 GB)",4.4,"₹13,999","₹11,999",13999.0,11999.0
"vivo Y16 (Steller Black, 64 GB)",4.4,"₹15,999","₹12,499",15999.0,12499.0
"OPPO F19 (Prism Black, 128 GB)",4.3,"₹20,990","₹14,990",20990.0,14990.0
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)",4.1,"₹13,499","₹10,043",13499.0,10043.0
"realme C35 (Glowing Black, 128 GB)",4.4,"₹14,999","₹12,999",14999.0,12999.0
"realme C35 (Glowing Green, 64 GB)",4.4,"₹13,999","₹11,999",13999.0,11999.0
"REDMI 11 Prime 5G (Thunder Black, 64 GB)",4.2,"₹15,999","₹13,998",15999.0,13998.0
"Infinix Note 12 5G (Force Black, 64 GB)",4.2,"₹19,999","₹14,999",19999.0,14999.0
"realme C35 (Glowing Black, 128 GB)",4.3,"₹15,999","₹13,999",15999.0,13999.0
"SAMSUNG GALAXY M13 5G (Midnight Blue, 64 GB)",4.1,"₹14,999","₹13,899",14999.0,13899.0
"vivo Y16 (Steller Black, 64 GB)",4.3,"₹13,999","₹10,999",13999.0,10999.0
"SAMSUNG Galaxy A03 (Blue, 32 GB)",4.1,"₹12,828","₹8,490",12828.0,8490.0
"Tecno Pova 3 (Eco Black, 64 GB)",4.3,"₹14,999","₹10,995",14999.0,10995.0
"vivo Y16 (Steller Black, 64 GB)",4.3,"₹13,999","₹10,999",13999.0,10999.0
"realme C35 (Glowing Green, 64 GB)",4.4,"₹13,999","₹11,999",13999.0,11999.0
"realme C35 (Glowing Black, 128 GB)",4.3,"₹15,999","₹13,999",15999.0,13999.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"IQOO Z6 44W (Lumina Blue, 128 GB)",4.2,"₹19,999","₹14,899",19999.0,14899.0
"REDMI 11 Prime 5G (Thunder Black, 64 GB)",4.2,"₹15,999","₹13,998",15999.0,13998.0
"Tecno Pova 3 (Eco Black, 64 GB)",4.3,"₹14,999","₹10,995",14999.0,10995.0
"vivo Y16 (Drizzling Gold, 64 GB)",4.4,"₹15,999","₹12,499",15999.0,12499.0
"vivo Y16 (Steller Black, 32 GB)",4.3,"₹12,999","₹9,999",12999.0,9999.0
"realme C35 (Glowing Green, 128 GB)",4.4,"₹14,999","₹12,999",14999.0,12999.0
"OPPO A17K (Navy Blue, 64 GB)",4.5,"₹11,999","₹9,469",11999.0,9469.0
"Tecno Pova 3 (Tech Silver, 128 GB)",4.1,"₹15,999","₹13,798",15999.0,13798.0
"POCO M5 (Icy Blue, 64 GB)",4.3,"₹15,999","₹10,999",15999.0,10999.0
"REDMI Note 9 (Shadow Black, 128 GB)",4.3,"₹18,999","₹14,999",18999.0,14999.0
"Infinix Note 12 TURBO (Force Black, 128 GB)",4.2,"₹19,999","₹13,999",19999.0,13999.0
"Infinix Note 12 TURBO (Jewel Blue, 128 GB)",4.2,"₹19,999","₹13,999",19999.0,13999.0
"SAMSUNG Galaxy A03 (Black, 32 GB)",4.1,"₹12,999","₹8,399",12999.0,8399.0
"SAMSUNG GALAXY M13 (Midnight Blue, 128 GB)",4.2,"₹17,999","₹14,945",17999.0,14945.0
"REDMI 11 Prime (Flashy Black, 64 GB)",4.2,"₹14,999","₹11,133",14999.0,11133.0
"REDMI 11 Prime (Playful Green, 64 GB)",4.2,"₹13,999","₹11,200",13999.0,11200.0
"REDMI 11 Prime 5G (Chrome Silver, 128 GB)",4.2,"₹17,999","₹16,896",17999.0,16896.0
"REDMI 9 Activ (Coral Green, 128 GB)",4.2,"₹12,999","₹11,499",12999.0,11499.0
"realme 8i (Space Black, 64 GB)",4.5,"₹15,999","₹13,999",15999.0,13999.0
"Infinix Note 12 (Force Black, 64 GB)",4.2,"₹15,999","₹11,999",15999.0,11999.0
"vivo Y21A (Diamond Glow, 64 GB)",4.3,"₹17,990","₹13,489",17990.0,13489.0
"realme C25s (Watery Blue, 64 GB)",4.4,"₹10,999","₹10,890",10999.0,10890.0
"realme C25s (Watery Grey, 64 GB)",4.4,"₹10,999","₹10,890",10999.0,10890.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"OPPO A17 (Lake Blue, 64 GB)",4.4,"₹14,999","₹12,388",14999.0,12388.0
"REDMI 11 Prime (Peppy Purple, 64 GB)",4.2,"₹13,999","₹11,299",13999.0,11299.0
"Infinix Note 12 (Force Black, 128 GB)",4.2,"₹17,999","₹12,999",17999.0,12999.0
Cellecor E3,3.9,"₹1,599","₹1,176",1599.0,1176.0
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4.3,"₹14,999","₹11,499",14999.0,11499.0
"Tecno Spark 8 (Turquoise Cyan, 64 GB)",4.1,"₹13,499","₹9,249",13499.0,9249.0
"Infinix Note 12 (Jewel Blue, 128 GB)",4.2,"₹17,999","₹12,999",17999.0,12999.0
"OPPO A17k (Navy Blue, 64 GB)",4.5,"₹12,999","₹9,999",12999.0,9999.0
"OPPO A17k (Gold, 64 GB)",4.5,"₹12,999","₹9,999",12999.0,9999.0
"OPPO A55 (Rainbow Blue, 128 GB)",4.3,"₹18,990","₹13,999",18990.0,13999.0
